ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
823;T001628;2060110;2019JJ00;1114.1;129.3;242.6;82.3;50.6;0.56;1.64;2.68;169.9;526;119;124.5;90.6;84.1;169.9;514.8;368.5;60.9;169.9;565.7;345;33.5
824;T001628;2060110;2020JJ00;1119.1;129.7;260.5;84.3;52.2;0.52;1.59;2.58;173.6;587;125.9;107.9;68.3;56.3;173.6;532.7;352.8;60;173.6;592.7;320.9;31.9
825;T001628;2060120;2006JJ00;940.9;123.2;271.1;;;0.39;;;128;575.1;54.8;50.4;51.6;81;;;;;;;;
826;T001628;2060120;2007JJ00;960.3;131;288;;;0.4;;;133;577.1;59.4;59;59;72.8;;;;;;;;
827;T001628;2060120;2008JJ00;983.2;138.4;299.3;;;0.41;;;137.8;578.6;64;64.4;62.5;75.9;;;;;;;;
828;T001628;2060120;2009JJ00;1021;141.2;296.5;;;0.43;;;167.7;554.2;65.8;65.6;64.1;103.7;;;;;;;;
829;T001628;2060120;2010JJ00;1033.5;144.1;277.9;;;0.47;;;171.8;511.7;65.4;63.7;64.4;156.5;;;;;;;;
830;T001628;2060120;2011JJ00;1040.2;147.4;280.4;80.5;47.3;0.49;1.72;2.88;165.3;512.6;67.7;66.8;67.8;160;165.3;422;340.7;112.3;165.3;437.1;343.1;94.8
831;T001628;2060120;2012JJ00;1048.8;151.3;267.1;81.8;47.6;0.53;1.76;2.99;161;482.5;67.1;65.7;67.6;205;161;422.5;349.9;115.4;161;431.4;358.2;98.2
832;T001628;2060120;2013JJ00;1056.7;151.8;240.2;82.9;48.1;0.6;1.76;3;162;430.3;63.2;61.1;61.7;278.4;162;425.8;356;112.9;162;434.6;368;92
833;T001628;2060120;2014JJ00;1063.6;149.9;239.1;85.4;50.1;0.6;1.72;2.9;171.4;423.4;63.8;62.4;64.4;278.2;171.4;433.1;355.3;103.8;171.4;445.4;368.8;78.1
834;T001628;2060120;2015JJ00;1071.7;147.2;244.4;84.6;50.5;0.58;1.71;2.84;185.6;428.8;66.1;66.3;70.1;254.8;185.6;427.8;360.1;98.3;185.6;449.1;367.7;69.4
835;T001628;2060120;2016JJ00;1081.8;147.4;254;87;52.4;0.57;1.68;2.77;185.2;450;70.7;74.1;84.4;217.4;185.2;445.3;361.8;89.5;185.2;473.1;364.2;59.4
836;T001628;2060120;2017JJ00;1092.3;148.1;270.9;90;53.8;0.54;1.65;2.74;188.8;480.6;80.8;89;100.8;152.3;188.8;460.5;362.1;81;188.8;484.8;365.2;53.5
837;T001628;2060120;2018JJ00;1103.9;149.9;293.1;92.2;55.1;0.51;1.63;2.72;192.4;525.8;96;104.9;87.3;97.6;192.4;473;362.1;76.5;192.4;497.4;364.5;49.7
838;T001628;2060120;2019JJ00;1114.1;151.7;319.8;96.6;58.1;0.47;1.59;2.64;193.4;591;110.2;96.2;62.5;60.7;193.4;497.9;350.8;72;193.4;525.8;349.4;45.4
839;T001628;2060120;2020JJ00;1119.1;153.3;343.3;98.9;59.8;0.44;1.56;2.57;195.1;644.5;106.7;81.3;47;44.4;195.1;510.1;341.4;72.4;195.1;546;333.2;44.8
840;T001628;2060130;2006JJ00;940.9;183.3;481.7;;;0.3;;;160.2;602.1;41.7;36.5;35.6;64.8;;;;;;;;
841;T001628;2060130;2007JJ00;960.3;195.8;507.1;;;0.31;;;165.4;605.7;46.6;42.7;39.7;60.2;;;;;;;;
842;T001628;2060130;2008JJ00;983.2;209.3;528.6;;;0.32;;;173.2;605.8;51.8;47.7;42.3;62.3;;;;;;;;
843;T001628;2060130;2009JJ00;1021;215.2;526.6;;;0.33;;;207.6;582.1;55.4;51.3;45.3;79.3;;;;;;;;
844;T001628;2060130;2010JJ00;1033.5;222;493;;;0.37;;;213.4;543.9;57.6;53.3;49.1;116.2;;;;;;;;
845;T001628;2060130;2011JJ00;1040.2;229.8;491.6;110.4;63.8;0.39;1.79;3.04;199.3;550.4;61.3;57.4;52.2;119.5;199.3;363.7;296.7;180.4;199.3;373.2;295.4;172.2
846;T001628;2060130;2012JJ00;1048.8;236.3;468.8;111.8;64.3;0.43;1.84;3.16;197.7;522.6;62.4;58.4;55.1;152.5;197.7;360.6;304.4;186.1;197.7;365.3;305.6;180.3
847;T001628;2060130;2013JJ00;1056.7;237.1;420.6;113.1;64.4;0.48;1.84;3.18;200.7;471.7;60.9;57.2;54.5;211.7;200.7;361.9;308;186.1;200.7;364.7;312.5;178.8
848;T001628;2060130;2014JJ00;1063.6;233.1;418;122.8;71.8;0.48;1.73;2.96;213.1;465.4;61.7;58.2;56;209.2;213.1;377.1;306.8;166.6;213.1;382.8;313.6;154.1
849;T001628;2060130;2015JJ00;1071.7;228.5;428.4;115.1;66.9;0.46;1.75;2.96;227.8;473.5;64;61.1;58.4;186.9;227.8;361.9;311.6;170.4;227.8;373.4;317.6;153
850;T001628;2060130;2016JJ00;1081.8;229.9;445.7;120.3;70.8;0.45;1.72;2.89;228.2;493.7;68.4;65.9;64.3;161.4;228.2;378.4;317.5;157.8;228.2;393;325.3;135.4
851;T001628;2060130;2017JJ00;1092.3;233.8;477.7;130.4;75.5;0.44;1.68;2.86;229.4;523.2;76.2;73.1;68.3;122.2;229.4;395.2;323.9;143.9;229.4;404;334.2;124.7
