ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
0;T001628;1050010;2006JJ00;3764;128;274.1;;;0.45;;;529.3;2019.8;222.5;219.5;246.5;526.3;;;;;;;;
1;T001628;1050010;2007JJ00;3841.5;136.4;291.5;;;0.46;;;533.2;2041;239.8;256.1;293;478.5;;;;;;;;
2;T001628;1050010;2008JJ00;3932.9;144.5;303.8;;;0.48;;;546.5;2044.3;256.4;279.5;319.9;486.3;;;;;;;;
3;T001628;1050010;2009JJ00;4084.4;147.6;301.5;;;0.49;;;665.9;1943.1;256.3;272.1;306.1;640.8;;;;;;;;
4;T001628;1050010;2010JJ00;4134.1;151;282.3;;;0.55;;;678.7;1781.4;246;251.4;271.3;905.2;;;;;;;;
5;T001628;1050010;2011JJ00;4160.8;154.4;283.8;79.6;47;0.56;1.86;3.11;656.4;1791.6;255.5;264.8;285.6;906.9;656.4;1560.8;1438.3;505.4;656.4;1633.8;1446.2;424.4
6;T001628;1050010;2012JJ00;4195.2;158.5;270.7;80.7;47.3;0.61;1.9;3.22;629.8;1685;250.2;256.1;275;1099.2;629.8;1567.9;1478.8;518.8;629.8;1620.1;1506.9;438.5
7;T001628;1050010;2013JJ00;4226.7;159;243.3;81.7;47.7;0.69;1.9;3.23;628.7;1499.5;229.8;231.2;240.8;1396.6;628.7;1586.9;1501.3;509.7;628.7;1642;1540.1;415.8
8;T001628;1050010;2014JJ00;4254.4;156.5;242.2;85.4;50.6;0.69;1.84;3.09;667.5;1480.1;233.2;236.9;251;1385.8;667.5;1634;1491.8;461.2;667.5;1711.8;1523.2;351.9
9;T001628;1050010;2015JJ00;4287;153.5;247.8;83.2;49.8;0.66;1.82;3;724.9;1505.2;244.5;253.8;275.3;1283.3;724.9;1617.6;1497.7;446.8;724.9;1735.8;1499.4;326.8
10;T001628;1050010;2016JJ00;4327.4;153.8;257.5;85.8;52;0.64;1.78;2.91;719.5;1587.3;265.4;284.5;338.7;1132;719.5;1697.5;1499.9;410.5;719.5;1854.6;1469;284.4
11;T001628;1050010;2017JJ00;4369.3;154.5;274.9;90.1;54;0.61;1.73;2.85;731.3;1707.8;305.5;345.1;428.3;851.3;731.3;1779.5;1489.2;369.3;731.3;1927.6;1453.6;256.8
12;T001628;1050010;2018JJ00;4415.7;156.4;297.3;92;55.2;0.57;1.7;2.8;746.7;1876.3;366.7;430.3;410.5;585.3;746.7;1845.4;1474.5;349.2;746.7;1994.7;1431.7;242.7
13;T001628;1050010;2019JJ00;4456.2;158.8;323.6;98.5;59.8;0.53;1.64;2.69;751.2;2124;440.1;440.5;322.6;377.8;751.2;1964.2;1416.2;324.7;751.2;2129.5;1354.1;221.4
14;T001628;1050010;2020JJ00;4476.3;159.8;346;100.2;61.1;0.49;1.6;2.6;760.2;2346.6;458.8;389.7;252.6;268.4;760.2;2022.4;1368.4;325.3;760.2;2216.2;1281.9;217.9
15;T001628;1050015;2006JJ00;724.4;91.1;232.3;;;0.37;;;179.8;313.5;36.8;39.9;49.1;105.4;;;;;;;;
16;T001628;1050015;2007JJ00;754.7;97.3;247.6;;;0.39;;;181.3;326.1;41.1;49.3;61.4;95.7;;;;;;;;
17;T001628;1050015;2008JJ00;788.8;103.2;256.8;;;0.41;;;186.4;335;45.1;54.8;68.5;99.1;;;;;;;;
18;T001628;1050015;2009JJ00;846.9;103.1;254;;;0.4;;;226.6;326.5;44.6;52.2;63.8;133.2;;;;;;;;
19;T001628;1050015;2010JJ00;863.5;103.6;239;;;0.43;;;232.9;307.8;41.2;45.3;52.4;184;;;;;;;;
20;T001628;1050015;2011JJ00;877.3;105.9;242;47.8;29.2;0.44;2.05;3.36;224.3;327.5;43.7;48.5;55.1;178.3;224.3;207;287.4;158.7;224.3;224.7;281.7;146.6
21;T001628;1050015;2012JJ00;895.6;108.8;231.1;48.7;29.6;0.49;2.11;3.51;218.4;320.1;43.4;47.4;52.9;213.5;218.4;212.6;302.7;162;218.4;228.4;299.1;149.7
22;T001628;1050015;2013JJ00;911;108.7;208;49.2;30;0.55;2.1;3.49;219.8;296.2;40.8;41.7;45.3;267.1;219.8;218.7;312.8;159.6;219.8;236.3;316.6;138.3
23;T001628;1050015;2014JJ00;925.8;106.1;207.6;51;31.5;0.54;2.01;3.3;231.3;300.7;42.8;43.9;47.9;259.2;231.3;229.5;316.7;148.4;231.3;249.8;325;119.7
24;T001628;1050015;2015JJ00;942.5;102.6;212.3;50.1;31.3;0.5;1.95;3.13;253.1;308;46.2;48.4;53.1;233.7;253.1;226.4;318.8;144.2;253.1;253.1;327.3;109.1
25;T001628;1050015;2016JJ00;961.9;102.8;221.1;51.2;32.2;0.49;1.92;3.07;252.5;333.6;51.6;55.3;66.6;202.2;252.5;243;328.9;137.5;252.5;273.6;337.7;98.1
26;T001628;1050015;2017JJ00;979.4;102.4;236.3;53.2;33.1;0.46;1.87;3.01;257.2;367.2;60.1;66.8;83.9;144.2;257.2;258.5;335.5;128.2;257.2;288.7;343.5;90
27;T001628;1050015;2018JJ00;996.1;102.5;255.8;53.9;33.7;0.43;1.83;2.94;262.9;411.2;71;81.7;75.4;93.9;262.9;271.8;340;121.5;262.9;303.6;346.4;83.3
28;T001628;1050015;2019JJ00;1013.7;103.4;279.2;56.9;35.9;0.39;1.77;2.81;267.3;473;83.4;78.7;54.7;56.6;267.3;295.2;335.7;115.4;267.3;331.3;338.6;76.5
29;T001628;1050015;2020JJ00;1021.4;103.8;297.1;57.7;36.6;0.36;1.71;2.71;270;522.6;81.8;65.1;41.6;40.3;270;309.8;326.8;114.8;270;352;325.3;74.1
30;T001628;1016010;2006JJ00;3039.5;136.8;284.1;;;0.46;;;349.5;1706.2;185.8;179.6;197.5;420.9;;;;;;;;
31;T001628;1016010;2007JJ00;3086.8;145.9;302.2;;;0.47;;;351.9;1714.9;198.7;206.8;231.6;382.9;;;;;;;;
32;T001628;1016010;2008JJ00;3144.1;154.8;315.6;;;0.49;;;360.1;1709.3;211.4;224.7;251.4;387.2;;;;;;;;
33;T001628;1016010;2009JJ00;3237.4;159.3;314;;;0.51;;;439.3;1616.6;211.6;219.9;242.3;507.6;;;;;;;;
34;T001628;1016010;2010JJ00;3270.6;163.5;293.8;;;0.57;;;445.9;1473.7;204.8;206.1;218.9;721.2;;;;;;;;
35;T001628;1016010;2011JJ00;3283.6;167.4;295;88.1;51.7;0.58;1.82;3.07;432.2;1464.1;211.9;216.3;230.6;728.6;432.2;1353.8;1150.9;346.7;432.2;1409.1;1164.5;277.7
36;T001628;1016010;2012JJ00;3299.7;172;281.5;89.4;52.1;0.64;1.86;3.18;411.4;1364.9;206.8;208.7;222.1;885.7;411.4;1355.3;1176.1;356.8;411.4;1391.7;1207.7;288.8
37;T001628;1016010;2013JJ00;3315.7;172.8;253;90.6;52.5;0.72;1.86;3.18;408.9;1203.3;188.9;189.6;195.4;1129.5;408.9;1368.2;1188.5;350.1;408.9;1405.7;1223.5;277.5
38;T001628;1016010;2014JJ00;3328.6;170.6;251.8;95;56;0.73;1.8;3.05;436.2;1179.4;190.4;193;203.1;1126.6;436.2;1404.5;1175.1;312.9;436.2;1462;1198.2;232.3
39;T001628;1016010;2015JJ00;3344.4;167.8;257.7;92.6;55;0.7;1.79;2.98;471.8;1197.2;198.3;205.4;222.3;1049.6;471.8;1391.1;1178.9;302.6;471.8;1482.8;1172.1;217.7
40;T001628;1016010;2016JJ00;3365.4;168.4;267.9;95.7;57.6;0.68;1.75;2.88;467;1253.7;213.7;229.2;272.1;929.7;467;1454.5;1171;273;467;1581;1131.2;186.3
41;T001628;1016010;2017JJ00;3389.9;169.6;286;100.7;60;0.65;1.71;2.83;474.2;1340.6;245.4;278.4;344.4;707.1;474.2;1521;1153.6;241.1;474.2;1638.9;1110;166.8
42;T001628;1016010;2018JJ00;3419.6;172.1;309.4;103.1;61.5;0.61;1.68;2.78;483.8;1465.1;295.6;348.6;335.2;491.4;483.8;1573.6;1134.5;227.7;483.8;1691.1;1085.4;159.3
43;T001628;1016010;2019JJ00;3442.6;175.1;336.6;110.8;66.8;0.57;1.61;2.66;483.9;1651;356.7;361.8;267.9;321.2;483.9;1668.9;1080.5;209.3;483.9;1798.2;1015.5;144.9
44;T001628;1016010;2020JJ00;3454.9;176.3;360.5;112.7;68.3;0.53;1.58;2.58;490.2;1823.9;377.1;324.7;211;228.1;490.2;1712.6;1041.6;210.5;490.2;1864.2;956.7;143.8
45;T001628;1050190;2006JJ00;133.8;113.6;264.8;;;0.44;;;21.9;73.1;8.8;7.7;7.4;14.9;;;;;;;;
46;T001628;1050190;2007JJ00;140.4;123.1;281.4;;;0.47;;;20.9;77.3;10.1;9.4;9.1;13.7;;;;;;;;
47;T001628;1050190;2008JJ00;148.4;132.7;292.3;;;0.5;;;21.1;80.2;11.5;10.6;10.4;14.5;;;;;;;;
48;T001628;1050190;2009JJ00;159.8;135.4;289.8;;;0.52;;;26.7;78.4;12.4;11.4;11.2;19.7;;;;;;;;
49;T001628;1050190;2010JJ00;172.6;140.8;272.2;;;0.57;;;29;75;13.6;12.4;11.8;30.7;;;;;;;;
50;T001628;1050190;2011JJ00;171.3;145.9;268.3;62.4;38.6;0.59;2.31;3.69;26.4;74.9;14;13.2;12.2;30.6;26.4;48.9;58.3;37.7;26.4;55.3;61.6;28
51;T001628;1050190;2012JJ00;179.8;152.8;256.8;63.7;38.9;0.65;2.4;3.9;25.2;71.7;14.6;14;13.4;40.8;25.2;50.2;63.7;40.7;25.2;55.6;67.3;31.7
52;T001628;1050190;2013JJ00;187;156.1;231.1;64.2;39;0.74;2.42;3.92;24.1;63.6;13.8;13.8;13.5;58.2;24.1;52.5;68.3;42.1;24.1;58.6;71.8;32.5
53;T001628;1050190;2014JJ00;194;154.5;229.9;66.7;40.9;0.74;2.35;3.79;26;64.8;14.3;14.5;14.3;60.2;26;55.9;71.8;40.3;26;62.9;74.6;30.5
54;T001628;1050190;2015JJ00;196.5;150.8;234.4;67.1;41.2;0.71;2.23;3.59;28.7;68.3;14.8;14.8;14.8;55.1;28.7;58.5;74.1;35.2;28.7;66.7;74.7;26.3
55;T001628;1050190;2016JJ00;203.1;152.2;243.7;69.5;43.1;0.69;2.18;3.46;27.9;75;16;16.2;17.2;50.9;27.9;64.2;76.7;34.3;27.9;74.9;76.1;24.2
56;T001628;1050190;2017JJ00;204.7;151.7;258.5;73.1;44.9;0.66;2.09;3.35;28.2;81.7;17.5;18.3;20.5;38.5;28.2;69.2;77.3;30.1;28.2;79.5;75.8;21.2
57;T001628;1050190;2018JJ00;210.1;154.2;279.1;75.6;46.4;0.62;2.04;3.28;28.6;92.3;20.3;22;19.6;27.4;28.6;74.1;79.1;28.4;28.6;84.9;77;19.7
58;T001628;1050190;2019JJ00;216.3;156.5;303.9;80.8;49.9;0.57;1.96;3.14;28.6;108.5;23.8;22.1;15.2;18;28.6;82.2;79;26.5;28.6;94.1;75.3;18.3
59;T001628;1050190;2020JJ00;219.1;158.2;321.2;83;51.4;0.54;1.91;3.06;28.2;121.5;24.7;19.4;11.9;13.5;28.2;87;77.4;26.5;28.2;99.9;72.9;18
60;T001628;1050055;2006JJ00;2785.4;137.2;283.1;;;0.46;;;310.3;1574.6;169.6;164.5;181.3;385.1;;;;;;;;
61;T001628;1050055;2007JJ00;2823;146.3;301.2;;;0.47;;;314;1578.1;180.5;188.5;211.9;350;;;;;;;;
62;T001628;1050055;2008JJ00;2868.5;155.1;314.4;;;0.48;;;322.4;1568.3;191.3;204.2;229.2;353.1;;;;;;;;
63;T001628;1050055;2009JJ00;2944;159.8;313;;;0.51;;;391.1;1480.3;190.8;199.2;220.3;462.2;;;;;;;;
64;T001628;1050055;2010JJ00;3020.1;164.5;293;;;0.57;;;402.5;1364.7;186.9;189.4;202.6;674;;;;;;;;
65;T001628;1050055;2011JJ00;3026.2;168.3;296.3;89.3;52.2;0.58;1.81;3.06;391;1355.4;193;198.1;213.2;675.5;391;1267.7;1068.6;298.8;391;1313.3;1081;240.9
66;T001628;1050055;2012JJ00;3035.6;172.8;282.7;90.7;52.6;0.64;1.84;3.15;372.6;1262.5;187.5;190;203.8;819.2;372.6;1269.2;1088.4;305.4;372.6;1297.2;1118.1;247.7
67;T001628;1050055;2013JJ00;3045.4;173.5;254.2;92;53.1;0.72;1.84;3.15;371.9;1112.9;170.8;171.5;177.6;1040.7;371.9;1279.6;1096.3;297.6;371.9;1307.9;1129.5;236.1
68;T001628;1050055;2014JJ00;3052.3;171.2;253;96.5;56.7;0.72;1.78;3.02;396.9;1088.3;171.8;174.1;184.3;1036.8;396.9;1311.8;1080.3;263.3;396.9;1358.8;1102.6;194
69;T001628;1050055;2015JJ00;3063.5;168.4;259;93.9;55.7;0.7;1.77;2.96;429.2;1102;179;186;202.5;964.9;429.2;1295.3;1081.3;257.7;429.2;1374.5;1076.3;183.5
70;T001628;1050055;2016JJ00;3077.4;168.8;269.3;97.1;58.3;0.68;1.73;2.86;425.7;1150.9;192.8;207.9;248.9;851.2;425.7;1350.9;1070.8;230;425.7;1462;1034.8;154.9
71;T001628;1050055;2017JJ00;3096.1;169.9;287.6;102.1;60.7;0.65;1.69;2.8;432.4;1228.1;222.1;253.6;316.4;643.5;432.4;1408.8;1052.6;202.3;432.4;1512;1013.5;138.3
72;T001628;1050055;2018JJ00;3118.5;172.3;311.3;104.4;62.1;0.61;1.66;2.76;441.5;1338.8;268.5;318.9;308.4;442.5;441.5;1454.5;1031.6;190.9;441.5;1556.9;987.5;132.5
73;T001628;1050055;2019JJ00;3135.5;175.4;338.7;112.3;67.6;0.56;1.6;2.64;442;1504.6;324.8;331.8;246.6;285.7;442;1540.1;978.6;174.7;442;1653.2;920.3;119.9
74;T001628;1050055;2020JJ00;3145.4;176.5;363;114.2;69;0.53;1.56;2.56;449.1;1659.8;343.9;298.3;194;200.3;449.1;1577.8;942.2;176.3;449.1;1711.8;865;119.5
75;T001628;1017780;2006JJ00;1271.4;113.9;282.5;;;0.35;;;223.7;693.1;55.1;57.5;73.7;168.3;;;;;;;;
76;T001628;1017780;2007JJ00;1302.6;119.7;299.9;;;0.35;;;230.4;710.7;58.4;65.8;86.7;150.7;;;;;;;;
77;T001628;1017780;2008JJ00;1332.8;124.8;312.2;;;0.35;;;239.9;721.1;61.3;69.3;91.5;149.7;;;;;;;;
78;T001628;1017780;2009JJ00;1378.3;126.4;309.9;;;0.35;;;281;701.4;60.3;63.7;77.7;194.3;;;;;;;;
79;T001628;1017780;2010JJ00;1407.6;128.7;290.3;;;0.39;;;289.4;672.7;60.9;59.2;63.5;261.9;;;;;;;;
80;T001628;1017780;2011JJ00;1415.4;130.2;293.3;76.3;46.4;0.39;1.53;2.43;282.3;689.9;64;61.7;66.2;251.4;282.3;582.6;430;120.6;282.3;624.4;416.7;92.1
81;T001628;1017780;2012JJ00;1422.3;132;280.1;77.3;46.9;0.42;1.55;2.48;277.9;667.6;66.2;61.6;63.7;285.5;277.9;588.1;433.7;122.7;277.9;626.3;425.6;92.6
82;T001628;1017780;2013JJ00;1432.9;130.9;251.9;78;47.1;0.47;1.53;2.46;281.4;620.7;67.4;60.8;58.5;344.1;281.4;598.6;432;120.9;281.4;638.8;424.8;87.8
83;T001628;1017780;2014JJ00;1445;128;251.1;81.7;50.2;0.47;1.47;2.34;299.1;617.5;69.5;63.8;62.6;332.5;299.1;615.2;419.6;111.2;299.1;664.8;407.1;74
84;T001628;1017780;2015JJ00;1459.6;124.8;257;78.7;48.7;0.45;1.44;2.27;323.4;624.9;72.6;68.6;70;300;323.4;609.1;415.3;111.8;323.4;670.9;393.3;71.9
85;T001628;1017780;2016JJ00;1477.2;124.6;266.4;80.8;50.4;0.43;1.42;2.22;324.4;654.1;77.4;76.5;88.5;256.4;324.4;635.7;412.2;105;324.4;708.4;380.1;64.3
86;T001628;1017780;2017JJ00;1496.2;124.8;283;85.1;52.5;0.41;1.39;2.18;331.2;691.8;86;90.5;112.2;184.6;331.2;661.6;406.8;96.6;331.2;731.9;374.1;59
87;T001628;1017780;2018JJ00;1518.9;125.8;304.1;85.5;53;0.39;1.37;2.16;339.8;741.9;97.9;108.6;102.4;128.3;339.8;680.1;404.8;94.2;339.8;750.4;371.3;57.4
88;T001628;1017780;2019JJ00;1534.7;127.8;329.1;91.6;57.5;0.36;1.32;2.07;343.2;806.2;109.7;108.2;79.2;88.1;343.2;711.7;391;88.7;343.2;788.2;350.5;52.8
89;T001628;1017780;2020JJ00;1547.2;128.6;350.9;92.5;58.4;0.34;1.3;2.01;349.9;858.6;109.4;95.2;66.1;68.1;349.9;721;387.5;88.7;349.9;805.6;339.5;52.1
90;T001628;1016090;2006JJ00;1514;156.8;283.6;;;0.54;;;86.6;881.5;114.5;106.9;107.6;216.8;;;;;;;;
91;T001628;1016090;2007JJ00;1520.3;169;302.3;;;0.56;;;83.7;867.4;122.1;122.7;125.1;199.3;;;;;;;;
92;T001628;1016090;2008JJ00;1535.7;181.3;316.3;;;0.58;;;82.5;847.2;129.9;134.9;137.8;203.5;;;;;;;;
93;T001628;1016090;2009JJ00;1565.7;189.2;315.7;;;0.62;;;110.2;778.9;130.5;135.5;142.6;267.9;;;;;;;;
94;T001628;1016090;2010JJ00;1612.5;195.7;295.4;;;0.7;;;113.1;692;126;130.2;139.1;412.1;;;;;;;;
95;T001628;1016090;2011JJ00;1610.9;201.8;298.9;100.6;57.3;0.72;2.03;3.53;108.8;665.5;129.1;136.3;147;424.1;108.8;685.2;638.6;178.3;108.8;689;664.3;148.9
96;T001628;1016090;2012JJ00;1613.3;208.8;285.1;102.5;57.6;0.8;2.07;3.66;94.8;594.9;121.3;128.4;140.1;533.8;94.8;681.1;654.7;182.7;94.8;670.9;692.5;155.1
97;T001628;1016090;2013JJ00;1612.6;211.3;256.2;104.4;58.5;0.91;2.08;3.67;90.5;492.2;103.5;110.6;119.1;696.6;90.5;681;664.3;176.8;90.5;669.1;704.7;148.3
98;T001628;1016090;2014JJ00;1607.3;210.1;254.6;109.8;62.5;0.92;2.02;3.54;97.8;470.8;102.3;110.3;121.7;704.3;97.8;696.6;660.7;152.2;97.8;693.9;695.5;120
99;T001628;1016090;2015JJ00;1603.9;208;260.8;107.7;62;0.9;2.02;3.48;105.7;477.1;106.4;117.4;132.4;664.9;105.7;686.2;666;146;105.7;703.6;683;111.5
100;T001628;1016090;2016JJ00;1600.2;209.6;272;112.1;65.5;0.87;1.97;3.33;101.4;496.8;115.4;131.4;160.4;594.9;101.4;715.2;658.6;125;101.4;753.6;654.6;90.6
101;T001628;1016090;2017JJ00;1599.9;212.1;291.9;117.9;68.4;0.82;1.91;3.26;101.1;536.3;136.1;163.1;204.2;458.9;101.1;747.2;645.8;105.7;101.1;780;639.5;79.3
102;T001628;1016090;2018JJ00;1599.6;216.4;318.1;122.3;70.8;0.76;1.87;3.2;101.7;596.8;170.6;210.2;206;314.2;101.7;774.4;626.8;96.7;101.7;806.5;616.2;75.1
103;T001628;1016090;2019JJ00;1600.8;220.9;347.9;132.2;77.3;0.7;1.79;3.06;98.9;698.4;215.1;223.6;167.3;197.6;98.9;828.4;587.5;86;98.9;865;569.8;67.2
104;T001628;1016090;2020JJ00;1598.1;223;374.7;135.2;79.4;0.65;1.75;2.96;99.2;801.1;234.5;203.2;127.9;132.2;99.2;856.8;554.7;87.5;99.2;906.1;525.4;67.4
105;T001628;1050220;2006JJ00;120.4;154;328.5;;;0.51;;;17.3;58.5;7.4;7.5;8.7;21;;;;;;;;
106;T001628;1050220;2007JJ00;123.5;164.5;347.6;;;0.52;;;17;59.5;8.1;8.9;10.7;19.2;;;;;;;;
107;T001628;1050220;2008JJ00;127.2;175.6;370.6;;;0.54;;;16.7;60.8;8.6;9.8;11.7;19.6;;;;;;;;
108;T001628;1050220;2009JJ00;133.6;177.1;364.5;;;0.55;;;21.5;57.9;8.4;9.3;10.9;25.7;;;;;;;;
109;T001628;1050220;2010JJ00;77.9;177.5;371.4;;;0.5;;;14.3;34;4.3;4.3;4.5;16.5;;;;;;;;
110;T001628;1050220;2011JJ00;86;177.9;302.7;99.8;61.2;0.59;1.58;2.56;14.8;33.8;4.8;5;5.2;22.5;14.8;37.1;24;10.1;14.8;40.5;22;8.8
111;T001628;1050220;2012JJ00;84.3;184;287.9;99;60.4;0.65;1.66;2.7;13.6;30.7;4.7;4.7;4.9;25.6;13.6;35.9;24;10.8;13.6;38.9;22.3;9.4
112;T001628;1050220;2013JJ00;83.2;186.7;260;100.7;61;0.74;1.67;2.72;12.8;26.9;4.3;4.3;4.3;30.6;12.8;36.2;23.9;10.3;12.8;39.3;22.2;8.9
113;T001628;1050220;2014JJ00;82.3;184;259.8;105.4;64.8;0.74;1.6;2.6;13.2;26.3;4.3;4.4;4.5;29.6;13.2;36.8;23;9.3;13.2;40.3;21.1;7.7
114;T001628;1050220;2015JJ00;84.5;187.1;265.9;104.7;64.6;0.73;1.61;2.57;14;26.9;4.5;4.6;5;29.5;14;37.4;23.5;9.6;14;41.6;21;7.9
115;T001628;1050220;2016JJ00;84.9;192.3;276;110.1;68.5;0.73;1.58;2.5;13.3;27.8;4.9;5.2;6;27.6;13.3;39.3;23.5;8.7;13.3;44.1;20.4;7.1
116;T001628;1050220;2017JJ00;89.1;200.4;295.3;117.6;72.5;0.7;1.55;2.47;13.6;30.8;5.7;6.4;7.4;25;13.6;43;23.7;8.8;13.6;47.4;20.7;7.3
117;T001628;1050220;2018JJ00;91;205.7;316.5;121.3;74.6;0.66;1.52;2.44;13.7;34;6.8;7.7;7.2;21.5;13.7;45;23.8;8.5;13.7;49.4;20.8;7.1
118;T001628;1050220;2019JJ00;90.8;211.6;342.9;129.9;80.7;0.62;1.48;2.36;13.3;37.9;8.1;7.8;6.1;17.5;13.3;46.6;22.9;8;13.3;51;19.9;6.7
119;T001628;1050220;2020JJ00;90.5;212.3;368.6;132.1;82.6;0.58;1.44;2.28;12.9;42.7;8.4;7;5.2;14.3;12.9;47.8;22;7.7;12.9;52.5;18.7;6.3
120;T001628;A025340;2006JJ00;37.5;151.5;162.2;;;1.02;;;1.7;3.5;1.6;3.1;6.9;20.8;;;;;;;;
121;T001628;A025340;2007JJ00;37.2;159.1;174.6;;;0.99;;;1.3;3.8;1.7;4;9;17.4;;;;;;;;
122;T001628;A025340;2008JJ00;37.2;163.9;182;;;0.99;;;1.2;3.9;1.9;3.9;9.4;17;;;;;;;;
123;T001628;A025340;2009JJ00;39;164.2;179;;;1.03;;;2.3;3.4;1.5;2.7;5.9;23.3;;;;;;;;
124;T001628;A025340;2010JJ00;38.4;161.8;165.7;;;1.12;;;2.4;2.8;1;1.8;3;27.5;;;;;;;;
125;T001628;A025340;2011JJ00;39.3;149.6;169.9;50.7;30.5;1.08;3.12;5.19;4.8;3.3;1.3;2.3;3.4;24.1;4.8;3.6;21;9.8;4.8;4.2;22.7;7.6
126;T001628;A025340;2012JJ00;34.3;152.7;163;50.8;30.5;1.1;3.06;5.11;3.4;2.2;1.1;2.1;3.1;22.4;3.4;2.9;20.2;7.8;3.4;3.6;21.5;5.8
127;T001628;A025340;2013JJ00;31;147.6;149;51.5;31.2;1.15;2.91;4.84;3;1.8;0.8;1.4;2.3;21.6;3;3.4;18.6;6.1;3;4.1;19.5;4.4
128;T001628;A025340;2014JJ00;27.9;138.2;152;53.9;33.1;1.07;2.68;4.37;3.2;2;1;1.8;2.7;17.2;3.2;4.2;16.5;4.1;3.2;5.3;16.7;2.8
129;T001628;A025340;2015JJ00;27.5;129.7;159.2;54.3;34.1;1;2.49;4.01;3.8;2.9;1.3;2.2;3.4;13.7;3.8;5;15.4;3.3;3.8;6.6;14.9;2.2
130;T001628;A025340;2016JJ00;26.4;131.2;166.6;56.6;36.2;0.96;2.39;3.78;3.5;3.3;1.5;2.6;5.4;10.1;3.5;5.6;14.6;2.8;3.5;7.9;13.3;1.8
131;T001628;A025340;2017JJ00;26.5;134.4;178.8;59.2;37.2;0.92;2.34;3.75;3.4;3.5;2;3.6;8.1;5.9;3.4;6.1;14.3;2.7;3.4;8.1;13.2;1.8
132;T001628;A025340;2018JJ00;26.9;136.4;193.2;62.3;38.8;0.87;2.28;3.68;3.7;4.5;2.4;4.7;7.5;4.1;3.7;6.8;13.8;2.6;3.7;8.5;12.8;1.8
133;T001628;A025340;2019JJ00;25.5;144.4;211.6;65.9;41.3;0.84;2.29;3.68;3.4;5;2.8;5;5.8;3.5;3.4;6.5;12.9;2.7;3.4;8.2;12;1.9
134;T001628;A025340;2020JJ00;24.4;155;229.3;68.1;42.8;0.83;2.35;3.78;3.2;5.2;2.6;4.4;5.2;3.6;3.2;5.7;12.6;2.8;3.2;7.2;11.9;2
135;T001628;A025343;2006JJ00;1517.4;173.4;243.4;;;0.77;;;60.3;599.5;136.8;150.3;183.1;387.5;;;;;;;;
136;T001628;A025343;2007JJ00;1516;186.3;258.4;;;0.79;;;51.3;568.5;146.6;177.5;220;352.1;;;;;;;;
137;T001628;A025343;2008JJ00;1522.7;198.2;268.9;;;0.82;;;47.8;532.7;153.3;191.7;239.5;357.8;;;;;;;;
138;T001628;A025343;2009JJ00;1530.7;205.4;265.7;;;0.86;;;70.1;449.3;141.3;175.6;221;473.4;;;;;;;;
139;T001628;A025343;2010JJ00;1503.7;210.3;247.1;;;0.95;;;67.5;339.3;115.2;142.4;177.3;661.9;;;;;;;;
140;T001628;A025343;2011JJ00;1477.6;212.4;249.4;81.3;45.8;0.96;2.7;4.75;75.9;309.5;112.8;144.2;181.6;653.7;75.9;341.5;796.2;264.1;75.9;331.7;832.3;237.7
141;T001628;A025343;2012JJ00;1443.7;218.6;236.6;82.4;45.9;1.03;2.72;4.83;54.4;242.7;94.4;121.9;157.9;772.3;54.4;328.9;800.6;259.7;54.4;306.4;846.7;236.2
142;T001628;A025343;2013JJ00;1407.5;218.9;211.5;83.5;46.6;1.14;2.69;4.76;46.7;168.7;66.9;85.9;112.3;927.1;46.7;323.6;797;240.1;46.7;302.3;850;208.4
143;T001628;A025343;2014JJ00;1364.9;214.7;209.4;86.5;49;1.13;2.59;4.53;51.8;155.7;64.2;84.8;114.1;894.4;51.8;337.4;774.2;201.6;51.8;324.6;826;162.5
144;T001628;A025343;2015JJ00;1327.6;209.1;213.8;85.7;49.3;1.07;2.54;4.35;57.8;168;70.3;95.2;131.1;805.1;57.8;337.3;756;176.5;57.8;345.5;790;134.2
145;T001628;A025343;2016JJ00;1300.2;208.7;223.2;88.7;52;1.01;2.45;4.12;51;183.8;82.3;116.6;180;686.5;51;363.7;737;148.5;51;392.8;750.3;106.2
146;T001628;A025343;2017JJ00;1280.3;209.7;241.1;92.2;53.6;0.94;2.36;4.01;50.6;217.8;110.3;163.9;254.3;483.4;50.6;389;716.2;124.5;50.6;413.9;723.9;91.9
147;T001628;A025343;2018JJ00;1272.5;212.9;264.7;96.1;55.7;0.87;2.29;3.9;51.9;279.3;157;235;243.1;306.1;51.9;417.9;692.4;110.2;51.9;442.1;694.8;83.6
148;T001628;A025343;2019JJ00;1263.7;217.7;291.8;102.1;59.3;0.79;2.2;3.75;48.4;383.1;217.2;249;183.2;182.8;48.4;464.4;650.3;100.7;48.4;492.3;645.6;77.4
